game_pk,pitcher_id,game_date,pitcher_name,strikeouts,swinging_strikes,total_pitches,avg_velocity,avg_spin_rate,swstr_pct,rolling_k,rolling_swstr,rolling_velocity,rolling_pitches
824915,675911,2026-06-06,"Strider, Spencer",3,6,84,87.8797619047619,2285.154761904762,0.07142857142857142,6.8,0.13457580733442803,89.0747943076081,90.4
823617,675911,2026-06-12,"Strider, Spencer",3,6,68,87.26029411764705,2227.794117647059,0.08823529411764706,5.8,0.12029009304871374,88.6593181171319,89.0
823956,676083,2026-04-28,"Junk, Janson",4,5,76,86.8921052631579,2208.1315789473683,0.06578947368421052,3.4,0.08505559185358118,87.72133961586835,82.8
823874,676083,2026-05-04,"Junk, Janson",6,9,92,88.80217391304348,2096.736263736264,0.09782608695652174,3.2,0.07289703089422075,87.39014041533537,82.2
823869,676083,2026-05-09,"Junk, Janson",6,7,94,88.02234042553192,2128.574468085106,0.07446808510638298,3.8,0.07177259311311132,87.68758669219694,83.2
822983,676083,2026-05-15,"Junk, Janson",4,5,100,88.43799999999999,2199.0,0.05,4.2,0.07050459397277174,87.96821639346493,82.2
823866,676083,2026-05-20,"Junk, Janson",3,5,86,88.8546511627907,2162.3953488372094,0.05813953488372093,4.4,0.07190244343513733,88.06592392034665,83.6
822812,676083,2026-05-25,"Junk, Janson",3,2,93,89.53118279569892,2220.7849462365593,0.021505376344086023,4.6,0.06924463612616724,88.2018541529048,89.6
823846,676083,2026-07-09,"Junk, Janson",5,3,79,90.55189873417721,2261.6962025316457,0.0379746835443038,4.4,0.06038781665814232,88.729669659413,93.0
824167,676083,2026-07-20,"Junk, Janson",3,6,80,89.11625000000001,2230.9625,0.075,4.2,0.04841753597569874,89.07961462363974,90.4
823840,676083,2026-07-26,"Junk, Janson",6,4,75,89.652,2324.0266666666666,0.05333333333333334,3.6,0.048523918954422145,89.29839653853337,87.6
823068,676106,2026-04-26,"Hancock, Emerson",4,7,94,90.04042553191489,2292.127659574468,0.07446808510638298,5.4,0.11287076834985714,89.36468801252185,90.0
823144,676106,2026-05-02,"Hancock, Emerson",14,21,103,89.97961165048544,2334.0,0.20388349514563106,4.4,0.11333139568041209,89.66596899519348,89.4
824607,676106,2026-05-08,"Hancock, Emerson",4,7,94,88.34148936170213,2295.1063829787236,0.07446808510638298,6.2,0.12483980202661146,89.756037666754,93.6
823140,676106,2026-05-15,"Hancock, Emerson",6,10,91,90.17692307692307,2292.3516483516482,0.10989010989010989,6.2,0.1124606917751608,89.88206281182168,94.8
823134,676106,2026-05-20,"Hancock, Emerson",4,10,86,90.08837209302327,2284.9651162790697,0.11627906976744186,6.2,0.11607136681440726,89.97663110067569,93.4
825004,676106,2026-05-26,"Hancock, Emerson",3,6,87,89.92183908045976,2334.022988505747,0.06896551724137931,6.4,0.11579776900318975,89.72536434280975,93.6
823131,676106,2026-06-01,"Hancock, Emerson",7,8,91,88.25714285714285,2328.1758241758243,0.08791208791208792,6.2,0.11469725543018902,89.70164705251872,92.2
824829,676106,2026-06-08,"Hancock, Emerson",3,10,92,92.01195652173914,2344.836956521739,0.10869565217391304,4.8,0.0915029739834804,89.35715329385022,89.8
822722,676106,2026-06-14,"Hancock, Emerson",2,3,59,93.0813559322034,2324.1525423728813,0.05084745762711865,4.6,0.0983484873969864,90.09124672585762,89.4
823126,676106,2026-06-20,"Hancock, Emerson",6,7,76,89.77499999999999,2355.815789473684,0.09210526315789473,3.8,0.08653995694438815,90.67213329691369,83.0
824422,676106,2026-06-28,"Hancock, Emerson",6,8,98,88.91734693877551,2340.816326530612,0.08163265306122448,4.2,0.08170519562247873,90.60945887830903,81.0
823117,676106,2026-07-05,"Hancock, Emerson",5,14,92,90.03804347826087,2332.3152173913045,0.15217391304347827,4.8,0.08423862278644775,90.40856044997217,83.2
822951,676106,2026-07-12,"Hancock, Emerson",2,3,19,92.67894736842106,2288.7894736842104,0.15789473684210525,4.4,0.09709098781272582,90.76474057419578,83.4
823110,676106,2026-07-22,"Hancock, Emerson",3,9,95,90.54947368421054,2372.547368421053,0.09473684210526316,4.2,0.10693080474636427,90.89813874353217,68.8
822826,676282,2026-04-25,"Cantillo, Joey",4,10,89,83.20674157303371,1931.4044943820224,0.11235955056179775,5.8,0.1159157093933745,86.11219269973655,86.4
825012,676282,2026-05-01,"Cantillo, Joey",2,8,69,84.38695652173912,1838.0144927536232,0.11594202898550725,5.6,0.12080520192331648,85.45288167368395,86.0
824118,676282,2026-05-06,"Cantillo, Joey",1,6,70,86.02857142857142,1856.6285714285714,0.08571428571428572,4.8,0.1196033638179789,85.39954127071469,83.4
824441,676282,2026-05-11,"Cantillo, Joey",4,14,93,86.53010752688172,1965.3978494623657,0.15053763440860216,3.2,0.10947349368810877,85.39366464733807,79.8
824435,676282,2026-05-16,"Cantillo, Joey",4,13,87,85.2551724137931,1973.6206896551723,0.14942528735632185,3.4,0.11762980105763407,85.33114956734856,82.0
824274,676282,2026-05-21,"Cantillo, Joey",6,16,98,83.29387755102042,1849.0,0.16326530612244897,3.0,0.12279575740530295,85.08150989280381,81.6
824434,676282,2026-05-26,"Cantillo, Joey",1,2,69,84.04782608695652,1840.623188405797,0.028985507246376812,3.4,0.1329769085174332,85.09893708840116,83.4
823541,676282,2026-06-02,"Cantillo, Joey",4,11,91,84.63296703296703,1995.131868131868,0.12087912087912088,3.2,0.1155856041696071,85.03111100144464,83.4
822890,676282,2026-06-07,"Cantillo, Joey",7,11,97,84.48556701030928,1901.5979381443299,0.1134020618556701,3.8,0.12261857120257413,84.75199012232375,87.6
824426,676282,2026-06-13,"Cantillo, Joey",4,8,79,85.27721518987342,2032.2784810126582,0.10126582278481013,4.4,0.11519145669198774,84.34308201900927,88.4
824180,676282,2026-06-20,"Cantillo, Joey",9,20,98,83.85,2130.091836734694,0.20408163265306123,4.4,0.10555956377768538,84.34749057422533,86.8
824423,676282,2026-06-26,"Cantillo, Joey",9,18,90,84.73777777777778,2290.211111111111,0.2,5.0,0.11372282908380785,84.45871506402125,86.8
824419,676282,2026-07-01,"Cantillo, Joey",4,11,93,85.43333333333334,2137.1935483870966,0.11827956989247312,6.6,0.14792572763453246,84.5967054021855,91.0
823687,676282,2026-07-07,"Cantillo, Joey",7,12,94,84.62127659574467,2195.744680851064,0.1276595744680851,6.6,0.1474058174372029,84.75677866225877,91.4
823842,676282,2026-07-12,"Cantillo, Joey",9,20,85,83.77411764705883,2007.0235294117647,0.23529411764705882,6.6,0.1502573199596859,84.78392057934585,90.8
824411,676282,2026-07-19,"Cantillo, Joey",7,16,80,84.23375,2111.95,0.2,7.6,0.17706297893213566,84.48330107078293,92.0
822952,676282,2026-07-24,"Cantillo, Joey",4,8,74,85.18243243243244,2206.5945945945946,0.10810810810810811,7.2,0.17624665240152343,84.56005107078292,88.4
824449,676440,2026-04-22,"Bibee, Tanner",3,9,95,86.65789473684211,2252.2105263157896,0.09473684210526316,4.6,0.12875605990177735,87.52144581846542,85.6
824447,676440,2026-04-28,"Bibee, Tanner",6,11,93,85.76236559139785,2342.2473118279568,0.11827956989247312,3.8,0.10924188986129153,87.27020425301333,89.0
824120,676440,2026-05-04,"Bibee, Tanner",4,8,77,88.05974025974027,2342.6363636363635,0.1038961038961039,4.2,0.11397888492086723,86.74375845237398,92.8
