game_pk,pitcher_id,game_date,pitcher_name,home_away,team_id,team_name,opponent_id,opponent_name,strikeouts,swinging_strikes,total_pitches,avg_velocity,avg_spin_rate,swstr_pct,opponent_k_rate,rolling_k,rolling_swstr,rolling_velocity,rolling_pitches
824410,676440,2026-07-20,"Bibee, Tanner",home,114,Cleveland Guardians,142,Minnesota Twins,5,8,95,87.54842105263158,2365.5052631578947,0.08421052631578947,0.21494343593791107,3.0,0.07039741764104705,87.96076078180852,86.2
822948,676440,2026-07-25,"Bibee, Tanner",away,114,Cleveland Guardians,139,Tampa Bay Rays,5,9,107,88.50654205607478,2392.878504672897,0.08411214953271028,0.18916155419222905,2.6,0.07039741764104707,87.70791867654536,86.2
824407,676440,2026-07-31,"Bibee, Tanner",home,114,Cleveland Guardians,109,Arizona Diamondbacks,3,7,100,86.499,2417.9,0.07,0.19237308719941706,3.2,0.07148951046893744,87.64675517764796,89.8
824402,676440,2026-08-05,"Bibee, Tanner",home,114,Cleveland Guardians,121,New York Mets,10,16,98,86.6204081632653,2310.6020408163267,0.16326530612244897,0.22497661365762395,3.4,0.07450049947992646,87.390511221604,91.6
824240,676440,2026-08-11,"Bibee, Tanner",away,114,Cleveland Guardians,116,Detroit Tigers,4,10,96,86.54375,2259.90625,0.10416666666666667,0.22569832402234638,5.2,0.08457291554312592,87.12104446716029,98.8
824397,676440,2026-08-16,"Bibee, Tanner",home,114,Cleveland Guardians,135,San Diego Padres,3,7,96,87.528125,2354.5520833333335,0.07291666666666667,0.21784322217410135,5.4,0.10115092972752308,87.14362425439433,99.2
824316,676440,2026-08-22,"Bibee, Tanner",away,114,Cleveland Guardians,115,Colorado Rockies,6,13,96,85.65104166666667,2277.40625,0.13541666666666666,0.22647299509001637,5.0,0.09889215779769851,87.13956504386802,99.4
824437,676571,2026-05-25,"Poulin, PJ",away,120,Washington Nationals,114,Cleveland Guardians,0,1,29,86.53103448275863,2197.551724137931,0.034482758620689655,0.1984511132623427,1.0,0.08498412698412698,85.18383492063492,22.8
824432,676571,2026-05-27,"Poulin, PJ",away,120,Washington Nationals,114,Cleveland Guardians,1,0,13,86.3076923076923,2170.3846153846152,0.0,0.2005610098176718,0.8,0.047436234263820466,85.77670848385331,26.8
822722,676571,2026-06-14,"Poulin, PJ",home,120,Washington Nationals,136,Seattle Mariners,0,2,15,84.46666666666667,2248.733333333333,0.13333333333333333,0.2248995983935743,0.8,0.039436234263820466,85.75504694539178,24.4
822966,676571,2026-06-19,"Poulin, PJ",away,120,Washington Nationals,139,Tampa Bay Rays,1,0,23,85.83043478260869,2187.913043478261,0.0,0.1899338721528288,0.8,0.06610290093048712,85.38338027872511,24.2
822718,676571,2026-06-23,"Poulin, PJ",home,120,Washington Nationals,143,Philadelphia Phillies,1,1,8,86.7625,2208.5,0.125,0.2318840579710145,0.8,0.0446743295019157,85.4466100923897,23.2
822711,676571,2026-07-11,"Poulin, PJ",home,120,Washington Nationals,147,New York Yankees,3,3,31,85.18064516129031,2247.9032258064517,0.0967741935483871,0.24089240327591077,0.6,0.0585632183908046,85.97966564794527,17.6
823271,676664,2026-07-30,"Sears, JP",home,135,San Diego Padres,137,San Francisco Giants,2,6,67,88.05522388059701,2047.5757575757575,0.08955223880597014,0.20946278955150321,4.0,0.09150688168232027,87.13148127473565,75.8
822745,676917,2026-04-23,"Cavalli, Cade",home,120,Washington Nationals,144,Atlanta Braves,10,12,85,91.72588235294117,2256.6941176470586,0.1411764705882353,0.18795430944963656,3.6,0.08638015946434077,91.11009912779173,78.6
823633,676917,2026-04-29,"Cavalli, Cade",away,120,Washington Nationals,121,New York Mets,10,18,97,91.35360824742267,2204.1546391752577,0.18556701030927836,0.21175373134328357,4.6,0.09861545358198784,91.18247559837997,80.6
822743,676917,2026-05-05,"Cavalli, Cade",home,120,Washington Nationals,142,Minnesota Twins,2,8,76,90.89473684210526,2199.4605263157896,0.10526315789473684,0.22659732540861813,6.0,0.11430028421527208,91.37224486691211,83.2
823868,676917,2026-05-10,"Cavalli, Cade",away,120,Washington Nationals,146,Miami Marlins,4,11,95,88.72105263157894,2176.442105263158,0.11578947368421053,0.21727574750830564,5.8,0.12045929877294285,91.59480925660976,79.6
822737,676917,2026-05-16,"Cavalli, Cade",home,120,Washington Nationals,110,Baltimore Orioles,8,8,94,91.96489361702129,2213.6063829787236,0.0851063829787234,0.245260663507109,6.2,0.1269505268431183,91.02818644959221,89.0
822733,676917,2026-05-21,"Cavalli, Cade",home,120,Washington Nationals,121,New York Mets,9,8,84,91.83690476190476,2156.0843373493976,0.09523809523809523,0.20695274307441608,6.8,0.1265804990910369,90.93203473821387,89.4
824434,676917,2026-05-26,"Cavalli, Cade",away,120,Washington Nationals,114,Cleveland Guardians,7,12,87,91.06896551724138,2206.2988505747126,0.13793103448275862,0.19857142857142857,6.6,0.11739282402100888,90.95423922000658,89.2
822730,676917,2026-06-01,"Cavalli, Cade",home,120,Washington Nationals,146,Miami Marlins,6,9,89,92.1438202247191,2207.191011235955,0.10112359550561797,0.2179144385026738,6.0,0.10786562885570491,90.89731067397034,87.2
825074,676917,2026-06-07,"Cavalli, Cade",away,120,Washington Nationals,109,Arizona Diamondbacks,2,9,88,91.38409090909092,2201.0454545454545,0.10227272727272728,0.20160269928300295,6.8,0.10703771637788115,91.1471273504931,89.8
822725,676917,2026-06-13,"Cavalli, Cade",home,120,Washington Nationals,136,Seattle Mariners,5,7,81,93.03950617283951,2219.8518518518517,0.08641975308641975,0.22510181414291003,6.4,0.1043343670955845,91.67973500599548,88.4
822967,676917,2026-06-20,"Cavalli, Cade",away,120,Washington Nationals,139,Tampa Bay Rays,1,3,68,91.01617647058823,2193.0757575757575,0.04411764705882353,0.18874773139745918,5.8,0.10459704111712378,91.89465751715913,85.8
822717,676917,2026-06-25,"Cavalli, Cade",home,120,Washington Nationals,143,Philadelphia Phillies,7,11,97,92.88762886597938,2270.8865979381444,0.1134020618556701,0.23131076097888031,4.2,0.09437295148126942,91.73051185889582,82.6
824742,676917,2026-06-30,"Cavalli, Cade",away,120,Washington Nationals,111,Boston Red Sox,13,17,100,93.245,2276.68,0.17,0.2171814671814672,4.2,0.08946715695585172,92.09424452864343,84.6
822715,676917,2026-07-05,"Cavalli, Cade",home,120,Washington Nationals,134,Pittsburgh Pirates,3,9,63,91.46825396825396,2238.222222222222,0.14285714285714285,0.23943661971830985,5.6,0.10324243785472813,92.31448048369961,86.8
822708,676917,2026-07-12,"Cavalli, Cade",home,120,Washington Nationals,147,New York Yankees,5,3,85,92.45647058823529,2195.423529411765,0.03529411764705882,0.24001117630623078,5.8,0.11135932097161125,92.33131309553222,81.8
824981,676917,2026-07-17,"Cavalli, Cade",away,120,Washington Nationals,133,Athletics,9,12,95,92.57263157894737,2279.073684210526,0.12631578947368421,0.22809872525088148,5.8,0.10113419388373908,92.21470597861138,82.6
824327,676917,2026-07-22,"Cavalli, Cade",away,120,Washington Nationals,115,Colorado Rockies,8,9,90,93.21777777777778,2266.5444444444443,0.1,0.22510162601626016,7.4,0.11757382236671118,92.5259970002832,88.0
822703,676917,2026-07-28,"Cavalli, Cade",home,120,Washington Nationals,141,Toronto Blue Jays,3,8,98,91.55918367346938,2282.030612244898,0.08163265306122448,0.19551524313429075,7.6,0.11489340999557718,92.59202678264288,86.6
824891,676917,2026-08-02,"Cavalli, Cade",away,120,Washington Nationals,144,Atlanta Braves,3,7,90,91.12777777777778,2308.6,0.07777777777777778,0.2125178486435031,5.6,0.09721994060782208,92.25486351733676,86.2
